Start: (-0.89, 7.00), Iterations: 45.0, Height: 2.069271 
Start: (-0.37, 7.00), Iterations: 21.0, Height: 0.233544 
Start: (0.16, 7.00), Iterations: 45.0, Height: 3.000000 
Start: (0.68, 7.00), Iterations: 21.0, Height: 1.207130 
Start: (1.21, 7.00), Iterations: 65.0, Height: 2.081189 
Start: (1.74, 7.00), Iterations: 41.0, Height: 2.081189 
Start: (2.26, 7.00), Iterations: 73.0, Height: 1.646255 
Start: (2.79, 7.00), Iterations: 93.0, Height: 2.275437 
Start: (3.32, 7.00), Iterations: 61.0, Height: 1.207130 
Start: (3.84, 7.00), Iterations: 61.0, Height: 1.646255 
Start: (4.37, 7.00), Iterations: 85.0, Height: 3.000000 
Start: (4.89, 7.00), Iterations: 27.0, Height: 2.069271 
Start: (5.42, 7.00), Iterations: 53.0, Height: 0.196794 
Start: (5.95, 7.00), Iterations: 73.0, Height: 1.207130 
Start: (6.47, 7.00), Iterations: 27.0, Height: 0.567170 
Start: (7.00, 7.00), Iterations: 93.0, Height: 1.646255 
